"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C03622V04362","Country","C02293V02763","Direction","UNIT","VALUE"
"ASA03","Air and Sea Travel","2012","2012","DK","Denmark","2","Departures","Thousand","99.4"
"ASA03","Air and Sea Travel","2012","2012","EE","Estonia","1","Arrivals","Thousand","15.5"
"ASA03","Air and Sea Travel","2012","2012","EE","Estonia","2","Departures","Thousand","15"
"ASA03","Air and Sea Travel","2012","2012","ES","Spain","1","Arrivals","Thousand","1459.7"
"ASA03","Air and Sea Travel","2012","2012","ES","Spain","2","Departures","Thousand","1451.9"
"ASA03","Air and Sea Travel","2012","2012","FI","Finland","1","Arrivals","Thousand","14.1"
"ASA03","Air and Sea Travel","2012","2012","FI","Finland","2","Departures","Thousand","13.3"
"ASA03","Air and Sea Travel","2012","2012","FR","France","1","Arrivals","Thousand","930.4"
"ASA03","Air and Sea Travel","2012","2012","FR","France","2","Departures","Thousand","930.5"
"ASA03","Air and Sea Travel","2012","2012","GB99","Other UK (1)","1","Arrivals","Thousand","26"
"ASA03","Air and Sea Travel","2012","2012","GB99","Other UK (1)","2","Departures","Thousand","25.8"
"ASA03","Air and Sea Travel","2012","2012","GR","Greece","1","Arrivals","Thousand","25.5"
"ASA03","Air and Sea Travel","2012","2012","GR","Greece","2","Departures","Thousand","25.9"
"ASA03","Air and Sea Travel","2012","2012","HR","Croatia","1","Arrivals","Thousand","29.1"
"ASA03","Air and Sea Travel","2012","2012","HR","Croatia","2","Departures","Thousand","28.8"
"ASA03","Air and Sea Travel","2012","2012","HU","Hungary","1","Arrivals","Thousand","97.3"
"ASA03","Air and Sea Travel","2012","2012","HU","Hungary","2","Departures","Thousand","94.3"
"ASA03","Air and Sea Travel","2012","2012","IS","Iceland","1","Arrivals","Thousand","2"
"ASA03","Air and Sea Travel","2012","2012","IS","Iceland","2","Departures","Thousand","2.3"
"ASA03","Air and Sea Travel","2012","2012","IT","Italy","1","Arrivals","Thousand","484.4"
"ASA03","Air and Sea Travel","2012","2012","IT","Italy","2","Departures","Thousand","477.7"
"ASA03","Air and Sea Travel","2012","2012","LT","Lithuania","1","Arrivals","Thousand","98.4"
"ASA03","Air and Sea Travel","2012","2012","LT","Lithuania","2","Departures","Thousand","97.2"
"ASA03","Air and Sea Travel","2012","2012","LU","Luxembourg","1","Arrivals","Thousand","0.1"
"ASA03","Air and Sea Travel","2012","2012","LU","Luxembourg","2","Departures","Thousand","0.1"
"ASA03","Air and Sea Travel","2012","2012","LV","Latvia","1","Arrivals","Thousand","57.5"
"ASA03","Air and Sea Travel","2012","2012","LV","Latvia","2","Departures","Thousand","59.1"
"ASA03","Air and Sea Travel","2012","2012","MT","Malta","1","Arrivals","Thousand","28.6"
"ASA03","Air and Sea Travel","2012","2012","MT","Malta","2","Departures","Thousand","28.8"
"ASA03","Air and Sea Travel","2012","2012","NL","Netherlands","1","Arrivals","Thousand","376.5"
"ASA03","Air and Sea Travel","2012","2012","NL","Netherlands","2","Departures","Thousand","382.3"
"ASA03","Air and Sea Travel","2012","2012","NO","Norway","1","Arrivals","Thousand","69.1"
"ASA03","Air and Sea Travel","2012","2012","NO","Norway","2","Departures","Thousand","70.5"
"ASA03","Air and Sea Travel","2012","2012","PL","Poland","1","Arrivals","Thousand","466.2"
"ASA03","Air and Sea Travel","2012","2012","PL","Poland","2","Departures","Thousand","464.8"
"ASA03","Air and Sea Travel","2012","2012","PT","Portugal","1","Arrivals","Thousand","309"
"ASA03","Air and Sea Travel","2012","2012","PT","Portugal","2","Departures","Thousand","307"
"ASA03","Air and Sea Travel","2012","2012","QA","Qatar","1","Arrivals","Thousand","0"
"ASA03","Air and Sea Travel","2012","2012","QA","Qatar","2","Departures","Thousand","0"
"ASA03","Air and Sea Travel","2012","2012","RO","Romania","1","Arrivals","Thousand","36.7"
"ASA03","Air and Sea Travel","2012","2012","RO","Romania","2","Departures","Thousand","35.1"
"ASA03","Air and Sea Travel","2012","2012","SE","Sweden","1","Arrivals","Thousand","71.9"
"ASA03","Air and Sea Travel","2012","2012","SE","Sweden","2","Departures","Thousand","72.1"
"ASA03","Air and Sea Travel","2012","2012","SI","Slovenia","1","Arrivals","Thousand","0"
"ASA03","Air and Sea Travel","2012","2012","SI","Slovenia","2","Departures","Thousand","0"
"ASA03","Air and Sea Travel","2012","2012","SK","Slovakia","1","Arrivals","Thousand","47.7"
"ASA03","Air and Sea Travel","2012","2012","SK","Slovakia","2","Departures","Thousand","46.4"
"ASA03","Air and Sea Travel","2012","2012","TR","Turkey","1","Arrivals","Thousand","98.3"
"ASA03","Air and Sea Travel","2012","2012","TR","Turkey","2","Departures","Thousand","97.9"
"ASA03","Air and Sea Travel","2012","2012","US","United States","1","Arrivals","Thousand","898.6"
"ASA03","Air and Sea Travel","2012","2012","US","United States","2","Departures","Thousand","915.3"
"ASA03","Air and Sea Travel","2012","2012","XB","Great Britain","1","Arrivals","Thousand","5904.4"
"ASA03","Air and Sea Travel","2012","2012","XB","Great Britain","2","Departures","Thousand","5920.5"
"ASA03","Air and Sea Travel","2012","2012","ZZEUBQAC","Other Europe (33)","1","Arrivals","Thousand","3.7"
"ASA03","Air and Sea Travel","2012","2012","ZZEUBQAC","Other Europe (33)","2","Departures","Thousand","4"
"ASA03","Air and Sea Travel","2012","2012","ZZZ11","Other Countries(43)","1","Arrivals","Thousand","18.8"
"ASA03","Air and Sea Travel","2012","2012","ZZZ11","Other Countries(43)","2","Departures","Thousand","18.7"
"ASA03","Air and Sea Travel","2012","2012","ZZZ13","Other transatlantic countries(2)","1","Arrivals","Thousand","0.4"
"ASA03","Air and Sea Travel","2012","2012","ZZZ13","Other transatlantic countries(2)","2","Departures","Thousand","0.1"
"ASA03","Air and Sea Travel","2013","2013","-","All countries","1","Arrivals","Thousand","13632.9"
"ASA03","Air and Sea Travel","2013","2013","-","All countries","2","Departures","Thousand","13655.2"
"ASA03","Air and Sea Travel","2013","2013","AE","United Arab Emirates","1","Arrivals","Thousand","253.6"
